serial_time	550_nm	680_nm	 
736865.955601851810	9.08	4.94	
736865.955613425930	9.09	4.94	
736865.955624999940	9.09	4.93	
736865.955636574070	9.08	4.94	
736865.955648148200	9.08	4.94	
736865.955659722210	9.07	4.94	
736865.955671296340	9.06	4.93	
736865.955682870350	9.09	4.92	
736865.955694444480	9.13	4.92	
736865.955706018490	9.16	4.93	
736865.955717592620	9.19	4.93	
736865.955729166630	9.20	4.92	
736865.955740740760	9.19	4.92	
736865.955752314770	9.18	4.91	
736865.955763888890	9.20	4.91	
736865.955775463020	9.21	4.91	
736865.955787037030	9.22	4.91	
736865.955798611160	9.23	4.93	
736865.955810185170	9.24	4.94	
736865.955821759300	9.24	4.96	
736865.955833333310	9.24	4.98	
736865.955844907440	9.24	4.99	
736865.955856481450	9.23	4.99	
736865.955868055580	9.22	4.99	
736865.955879629590	9.21	5.01	
736865.955891203720	9.23	5.02	
736865.955902777730	9.24	5.01	
736865.955914351860	9.24	5.00	
736865.955925925870	9.24	4.99	
736865.955937500000	9.24	4.98	
736865.955949074120	9.25	4.98	
736865.955960648130	9.25	4.99	
736865.955972222260	9.26	4.98	
736865.955983796270	9.29	4.99	
736865.955995370400	9.30	4.99	
736865.956006944410	9.32	5.00	
736865.956018518540	9.33	5.01	
736865.956030092550	9.34	5.01	
736865.956041666680	9.34	5.01	
736865.956053240690	9.34	5.01	
736865.956064814820	9.34	5.01	
736865.956076388950	9.34	5.01	
736865.956087962960	9.35	5.01	
736865.956099537080	9.37	5.01	
736865.956111111100	9.38	5.02	
736865.956122685220	9.39	5.03	
736865.956134259240	9.40	5.04	
736865.956145833360	9.41	5.04	
736865.956157407370	9.43	5.04	
736865.956168981500	9.45	5.05	
736865.956180555510	9.44	5.04	
736865.956192129640	9.44	5.03	
736865.956203703650	9.44	5.02	
736865.956215277780	9.44	5.02	
736865.956226851910	9.44	5.02	
736865.956238425920	9.44	5.00	
736865.956250000050	9.45	4.99	
736865.956261574060	9.45	4.99	
736865.956273148190	9.46	4.99	
736865.956284722200	9.47	5.00	
736865.956296296320	9.46	5.01	
736865.956307870340	9.45	5.01	
736865.956319444460	9.45	5.01	
736865.956331018470	9.45	5.02	
736865.956342592600	9.45	5.01	
736865.956354166610	9.46	4.99	
736865.956365740740	9.47	4.99	
736865.956377314870	9.48	5.00	
736865.956388888880	9.48	5.00	
736865.956400463010	9.47	5.01	
736865.956412037020	9.46	5.01	
736865.956423611150	9.45	5.01	
736865.956435185160	9.42	5.02	
736865.956446759290	9.39	5.02	
736865.956458333300	9.39	5.02	
736865.956469907430	9.40	5.02	
736865.956481481440	9.40	5.02	
736865.956493055560	9.40	5.05	
736865.956504629580	9.39	5.08	
736865.956516203700	9.37	5.09	
736865.956527777830	9.37	5.09	
736865.956539351840	9.37	5.09	
736865.956550925970	9.37	5.09	
736865.956562499980	9.37	5.11	
736865.956574074110	9.37	5.12	
736865.956585648120	9.38	5.13	
736865.956597222250	9.39	5.14	
736865.956608796260	9.39	5.15	
736865.956620370390	9.40	5.17	
736865.956631944400	9.40	5.19	
736865.956643518530	9.40	5.20	
736865.956655092540	9.40	5.21	
736865.956666666670	9.39	5.21	
736865.956678240790	9.39	5.21	
736865.956689814800	9.39	5.22	
736865.956701388930	9.39	5.21	
736865.956712962940	9.38	5.20	
736865.956724537070	9.38	5.21	
736865.956736111080	9.38	5.21	
736865.956747685210	9.38	5.21	
736865.956759259220	9.39	5.20	
736865.956770833350	9.39	5.21	
736865.956782407360	9.40	5.22	
736865.956793981490	9.41	5.22	
736865.956805555620	9.42	5.21	
736865.956817129630	9.43	5.23	
736865.956828703750	9.43	5.24	
736865.956840277770	9.43	5.24	
736865.956851851890	9.41	5.25	
