"Blue","Green","Red","Date","Hour","Min","Date_Hr"
4.68e-05,3.051e-05,1.939e-05,2017-04-12,3,29,2017-04-12 03:29:00
4.597e-05,3.01e-05,1.931e-05,2017-04-12,3,30,2017-04-12 03:30:00
4.581e-05,3.068e-05,1.953e-05,2017-04-12,3,31,2017-04-12 03:31:00
4.691e-05,3.037e-05,1.898e-05,2017-04-12,3,32,2017-04-12 03:32:00
4.623e-05,3.033e-05,1.979e-05,2017-04-12,3,33,2017-04-12 03:33:00
4.467e-05,2.965e-05,1.898e-05,2017-04-12,3,34,2017-04-12 03:34:00
4.415e-05,2.929e-05,1.919e-05,2017-04-12,3,35,2017-04-12 03:35:00
4.531e-05,2.92e-05,1.852e-05,2017-04-12,3,36,2017-04-12 03:36:00
4.453e-05,2.891e-05,1.887e-05,2017-04-12,3,37,2017-04-12 03:37:00
4.498e-05,2.909e-05,1.894e-05,2017-04-12,3,38,2017-04-12 03:38:00
4.293e-05,2.905e-05,1.831e-05,2017-04-12,3,39,2017-04-12 03:39:00
4.396e-05,2.93e-05,1.805e-05,2017-04-12,3,40,2017-04-12 03:40:00
4.45e-05,2.846e-05,1.811e-05,2017-04-12,3,41,2017-04-12 03:41:00
4.243e-05,2.871e-05,1.855e-05,2017-04-12,3,42,2017-04-12 03:42:00
4.331e-05,2.885e-05,1.913e-05,2017-04-12,3,43,2017-04-12 03:43:00
4.341e-05,2.803e-05,1.854e-05,2017-04-12,3,44,2017-04-12 03:44:00
4.212e-05,2.838e-05,1.875e-05,2017-04-12,3,45,2017-04-12 03:45:00
4.215e-05,2.905e-05,1.88e-05,2017-04-12,3,46,2017-04-12 03:46:00
4.317e-05,2.79e-05,1.853e-05,2017-04-12,3,47,2017-04-12 03:47:00
4.154e-05,2.844e-05,1.797e-05,2017-04-12,3,48,2017-04-12 03:48:00
4.184e-05,2.802e-05,1.871e-05,2017-04-12,3,49,2017-04-12 03:49:00
4.239e-05,2.836e-05,1.818e-05,2017-04-12,3,50,2017-04-12 03:50:00
4.11e-05,2.817e-05,1.766e-05,2017-04-12,3,51,2017-04-12 03:51:00
4.105e-05,2.82e-05,1.764e-05,2017-04-12,3,52,2017-04-12 03:52:00
4.305e-05,2.784e-05,1.839e-05,2017-04-12,3,53,2017-04-12 03:53:00
4.207e-05,2.796e-05,1.81e-05,2017-04-12,3,54,2017-04-12 03:54:00
4.252e-05,2.873e-05,1.858e-05,2017-04-12,3,55,2017-04-12 03:55:00
4.223e-05,2.88e-05,1.89e-05,2017-04-12,3,56,2017-04-12 03:56:00
4.251e-05,2.806e-05,1.792e-05,2017-04-12,3,57,2017-04-12 03:57:00
4.19e-05,2.849e-05,1.832e-05,2017-04-12,3,58,2017-04-12 03:58:00
4.312e-05,2.818e-05,1.89e-05,2017-04-12,3,59,2017-04-12 03:59:00
4.125e-05,2.78e-05,1.736e-05,2017-04-12,4,0,2017-04-12 04:00:00
4.146e-05,2.73e-05,1.802e-05,2017-04-12,4,1,2017-04-12 04:01:00
4.126e-05,2.804e-05,1.8e-05,2017-04-12,4,2,2017-04-12 04:02:00
4.12e-05,2.782e-05,1.836e-05,2017-04-12,4,3,2017-04-12 04:03:00
4.088e-05,2.747e-05,1.749e-05,2017-04-12,4,4,2017-04-12 04:04:00
4.18e-05,2.799e-05,1.834e-05,2017-04-12,4,5,2017-04-12 04:05:00
4.182e-05,2.78e-05,1.822e-05,2017-04-12,4,6,2017-04-12 04:06:00
4.001e-05,2.787e-05,1.868e-05,2017-04-12,4,7,2017-04-12 04:07:00
4.07e-05,2.809e-05,1.847e-05,2017-04-12,4,8,2017-04-12 04:08:00
4.099e-05,2.812e-05,1.801e-05,2017-04-12,4,9,2017-04-12 04:09:00
4.021e-05,2.776e-05,1.806e-05,2017-04-12,4,10,2017-04-12 04:10:00
3.94e-05,2.727e-05,1.777e-05,2017-04-12,4,11,2017-04-12 04:11:00
4.05e-05,2.734e-05,1.803e-05,2017-04-12,4,12,2017-04-12 04:12:00
4.207e-05,2.754e-05,1.767e-05,2017-04-12,4,13,2017-04-12 04:13:00
4.288e-05,2.943e-05,1.894e-05,2017-04-12,4,14,2017-04-12 04:14:00
4.379e-05,2.984e-05,1.93e-05,2017-04-12,4,15,2017-04-12 04:15:00
2.875e-05,1.631e-05,1.625e-05,2017-04-12,4,21,2017-04-12 04:21:00
4.537e-05,2.953e-05,1.889e-05,2017-04-12,4,22,2017-04-12 04:22:00
4.481e-05,2.98e-05,1.882e-05,2017-04-12,4,23,2017-04-12 04:23:00
4.55e-05,2.989e-05,1.865e-05,2017-04-12,4,24,2017-04-12 04:24:00
4.519e-05,2.963e-05,1.862e-05,2017-04-12,4,25,2017-04-12 04:25:00
4.417e-05,2.912e-05,1.865e-05,2017-04-12,4,26,2017-04-12 04:26:00
4.246e-05,2.894e-05,1.827e-05,2017-04-12,4,27,2017-04-12 04:27:00
4.292e-05,2.91e-05,1.81e-05,2017-04-12,4,28,2017-04-12 04:28:00
4.261e-05,2.828e-05,1.807e-05,2017-04-12,4,29,2017-04-12 04:29:00
4.249e-05,2.765e-05,1.807e-05,2017-04-12,4,30,2017-04-12 04:30:00
4.194e-05,2.818e-05,1.769e-05,2017-04-12,4,31,2017-04-12 04:31:00
4.243e-05,2.869e-05,1.815e-05,2017-04-12,4,32,2017-04-12 04:32:00
4.339e-05,2.846e-05,1.797e-05,2017-04-12,4,33,2017-04-12 04:33:00
4.235e-05,2.821e-05,1.8e-05,2017-04-12,4,34,2017-04-12 04:34:00
4.199e-05,2.793e-05,1.877e-05,2017-04-12,4,35,2017-04-12 04:35:00
4.274e-05,2.788e-05,1.823e-05,2017-04-12,4,36,2017-04-12 04:36:00
4.042e-05,2.743e-05,1.782e-05,2017-04-12,4,37,2017-04-12 04:37:00
4.253e-05,2.742e-05,1.772e-05,2017-04-12,4,38,2017-04-12 04:38:00
4.35e-05,2.828e-05,1.809e-05,2017-04-12,4,39,2017-04-12 04:39:00
4.197e-05,2.839e-05,1.844e-05,2017-04-12,4,40,2017-04-12 04:40:00
4.242e-05,2.81e-05,1.812e-05,2017-04-12,4,41,2017-04-12 04:41:00
4.202e-05,2.801e-05,1.861e-05,2017-04-12,4,42,2017-04-12 04:42:00
4.321e-05,2.832e-05,1.844e-05,2017-04-12,4,43,2017-04-12 04:43:00
4.273e-05,2.927e-05,1.819e-05,2017-04-12,4,44,2017-04-12 04:44:00
4.322e-05,2.892e-05,1.851e-05,2017-04-12,4,45,2017-04-12 04:45:00
4.445e-05,2.962e-05,1.924e-05,2017-04-12,4,46,2017-04-12 04:46:00
4.365e-05,2.939e-05,1.919e-05,2017-04-12,4,47,2017-04-12 04:47:00
4.404e-05,2.842e-05,1.867e-05,2017-04-12,4,48,2017-04-12 04:48:00
4.409e-05,2.918e-05,1.838e-05,2017-04-12,4,49,2017-04-12 04:49:00
4.259e-05,2.885e-05,1.825e-05,2017-04-12,4,50,2017-04-12 04:50:00
4.329e-05,2.908e-05,1.788e-05,2017-04-12,4,51,2017-04-12 04:51:00
4.276e-05,2.875e-05,1.811e-05,2017-04-12,4,52,2017-04-12 04:52:00
4.304e-05,2.951e-05,1.853e-05,2017-04-12,4,53,2017-04-12 04:53:00
4.405e-05,2.893e-05,1.869e-05,2017-04-12,4,54,2017-04-12 04:54:00
4.366e-05,2.877e-05,1.854e-05,2017-04-12,4,55,2017-04-12 04:55:00
4.254e-05,2.874e-05,1.886e-05,2017-04-12,4,56,2017-04-12 04:56:00
4.411e-05,2.838e-05,1.814e-05,2017-04-12,4,57,2017-04-12 04:57:00
4.258e-05,2.903e-05,1.865e-05,2017-04-12,4,58,2017-04-12 04:58:00
4.225e-05,2.847e-05,1.803e-05,2017-04-12,4,59,2017-04-12 04:59:00
4.179e-05,2.82e-05,1.782e-05,2017-04-12,5,0,2017-04-12 05:00:00
4.293e-05,2.809e-05,1.788e-05,2017-04-12,5,1,2017-04-12 05:01:00
4.189e-05,2.824e-05,1.837e-05,2017-04-12,5,2,2017-04-12 05:02:00
4.004e-05,2.796e-05,1.76e-05,2017-04-12,5,3,2017-04-12 05:03:00
4.2e-05,2.75e-05,1.823e-05,2017-04-12,5,4,2017-04-12 05:04:00
4.056e-05,2.75e-05,1.766e-05,2017-04-12,5,5,2017-04-12 05:05:00
4.19e-05,2.797e-05,1.884e-05,2017-04-12,5,6,2017-04-12 05:06:00
4.284e-05,2.866e-05,1.886e-05,2017-04-12,5,7,2017-04-12 05:07:00
4.335e-05,2.905e-05,1.857e-05,2017-04-12,5,8,2017-04-12 05:08:00
4.338e-05,2.955e-05,1.843e-05,2017-04-12,5,9,2017-04-12 05:09:00
4.333e-05,2.913e-05,1.861e-05,2017-04-12,5,10,2017-04-12 05:10:00
4.424e-05,2.879e-05,1.847e-05,2017-04-12,5,11,2017-04-12 05:11:00
4.382e-05,2.934e-05,1.853e-05,2017-04-12,5,12,2017-04-12 05:12:00
4.486e-05,2.925e-05,1.881e-05,2017-04-12,5,13,2017-04-12 05:13:00
4.32e-05,2.942e-05,1.919e-05,2017-04-12,5,14,2017-04-12 05:14:00
4.506e-05,2.982e-05,1.876e-05,2017-04-12,5,15,2017-04-12 05:15:00
2.886e-05,1.642e-05,1.627e-05,2017-04-12,5,21,2017-04-12 05:21:00
4.252e-05,2.757e-05,1.83e-05,2017-04-12,5,22,2017-04-12 05:22:00
4.135e-05,2.801e-05,1.875e-05,2017-04-12,5,23,2017-04-12 05:23:00
4.169e-05,2.793e-05,1.835e-05,2017-04-12,5,24,2017-04-12 05:24:00
4.196e-05,2.767e-05,1.806e-05,2017-04-12,5,25,2017-04-12 05:25:00
4.106e-05,2.737e-05,1.816e-05,2017-04-12,5,26,2017-04-12 05:26:00
4.109e-05,2.76e-05,1.846e-05,2017-04-12,5,27,2017-04-12 05:27:00
4.025e-05,2.786e-05,1.77e-05,2017-04-12,5,28,2017-04-12 05:28:00
4.268e-05,2.934e-05,1.963e-05,2017-04-12,5,29,2017-04-12 05:29:00
4.214e-05,2.888e-05,1.907e-05,2017-04-12,5,30,2017-04-12 05:30:00
4.321e-05,2.968e-05,1.903e-05,2017-04-12,5,31,2017-04-12 05:31:00
4.477e-05,2.911e-05,1.892e-05,2017-04-12,5,32,2017-04-12 05:32:00
4.456e-05,3.037e-05,2.006e-05,2017-04-12,5,33,2017-04-12 05:33:00
4.389e-05,2.94e-05,1.918e-05,2017-04-12,5,34,2017-04-12 05:34:00
4.314e-05,2.968e-05,1.937e-05,2017-04-12,5,35,2017-04-12 05:35:00
4.427e-05,2.922e-05,1.948e-05,2017-04-12,5,36,2017-04-12 05:36:00
